nutrient,zero_value_counts,observation_count,z_score_zero_value_counts,percent_zero,outlier_count,variation_coefficient,missing_rate,median_value,tertile_zero_value,rmse_mcar_rand_scaled,rmse_mar_rand_scaled,rmse_mcar_const_scaled,rmse_mar_const_scaled,rmse_mcar_rand_unscaled,rmse_mar_rand_unscaled,rmse_mcar_const_unscaled,rmse_mar_const_unscaled
tocopherol_alpha,3360,8789,-0.052384800014782,0.3822960518830356,1036,4.305964127481841,0.0,0.12,2,0.11482682782911645,0.2230667474518434,0.10240615718025413,0.16669428131559436,0.4798513762578887,0.9321765155728718,0.4279464084682783,0.696600906204813
vitamin_e,3360,8789,-0.052384800014782,0.3822960518830356,1036,4.305964127481841,0.0,0.12,2,0.11463114919215507,0.22210499655221821,0.10232518991529298,0.1660961355115462,0.47903366765174066,0.9281574132245731,0.4276080662808016,0.6941012779070044
vitamin_a,2943,8789,-0.2094797169402619,0.334850381158266,1390,5.463000862036789,0.0,20.0,2,0.35738744728330146,0.5543768838704831,0.3533182015287705,0.5437359587163277,1246.2644948449736,1933.1965944933463,1232.0743568828952,1896.0900447152933
pantothenic_acid,2497,8789,-0.3774997000308231,0.2841051314142678,301,2.58445591306753,0.0,0.274,3,0.22511156838837312,0.57629691647712,0.21583844403616134,0.5863597220561738,0.29944061884720224,0.766583014836521,0.28710562739143913,0.7799684731795617
manganese,2339,8789,-0.4370224743095421,0.2661281146888156,1054,12.708818828744782,0.0,0.022,3,0.2812513927039186,2.7532243725173617,0.27151096882666176,2.746221298919805,1.7982550613427626,17.60346739640238,1.7359771228459897,17.558691420754172
carbohydrate,2158,8789,-0.5052099562364291,0.2455341904653544,110,1.232545257855616,0.0,9.34,3,0.36318243650844306,0.3530627601213941,0.18633917534741087,0.29883420898844637,10.215038400367861,9.930407663881585,5.241062276904553,8.40515010425438
selenium,2090,8789,-0.5308273527614473,0.2377972465581977,165,2.1695846107844123,0.0,4.0,3,0.9226540384257046,0.24519294727886767,0.8962024348806079,0.23286606234805116,26.86600867328456,7.1395731002340215,26.09578616554341,6.780636607600115
folate,1896,8789,-0.6039122781416466,0.2157242007054272,1016,2.8959687946047104,0.0,9.0,3,0.3376567682336564,0.41002824916223257,0.31667359208088136,0.36801974180797253,44.32832806128583,53.829416697683975,41.57360873834624,48.31444621040967
copper,1515,8789,-0.7474450439656461,0.1723745591079759,891,3.2446781428683016,0.0,0.077,3,0.36675449387081843,1.536072022752578,0.2898006219985033,1.5306730835036142,0.2165244099005325,0.9068657403138161,0.17109240698228165,0.903678323938128
vitamin_b6,1278,8789,-0.8367292053837246,0.1454090340197974,409,1.7897836956225637,0.0,0.119,3,0.2886324630483157,0.6695172166095584,0.28468731938344516,0.6529219386751294,0.13913777096171714,0.32274655217976356,0.13723597935630025,0.3147466556056466
monounsaturated_fatty_acids,1017,8789,-0.9350548008694568,0.1157128228467402,547,1.809562197142017,0.0,1.6,3,0.1598820377904345,0.2287862149808719,0.13020924027450811,0.20341919695659985,1.1651175063970491,1.6672467839875522,0.9488811848037058,1.4823882855702795
magnesium,1000,8789,-0.9414591500007112,0.113778586869951,1003,1.730758757290298,0.0,20.0,3,0.44773668871330846,0.6285334644689228,0.3432687271163682,0.6278688221971361,26.49251732798236,37.19023724839573,20.311162118572753,37.15090994181307
polyunsaturated_fatty_acids,992,8789,-0.9444729613565958,0.1128683581749914,982,2.3884821567726044,0.0,0.591,3,0.18527610928814073,0.19021049278420504,0.15110486230907896,0.12536009118225727,1.0143697588844314,1.0413850783320482,0.8272853091029301,0.6863350345198498
thiamin,990,8789,-0.9452264141955669,0.1126408010012515,854,2.454485398963792,0.0,0.077,3,0.18956324577184636,0.24384086535977337,0.15989959046003577,0.20800284072114633,0.09133904684071305,0.11749214122213673,0.07704592639015664,0.10022397452376995
riboflavin,951,8789,-0.959918744555504,0.1082034361133234,569,1.8748122271538945,0.0,0.151,3,0.361275242470641,0.688927639186814,0.3436330355738184,0.6917201531924022,0.1460393876881872,0.2784873155496748,0.13890782655032405,0.2796161401589037
zink,938,8789,-0.9648161880088162,0.1067243144840141,530,1.719692753813537,0.0,0.8,3,0.245376517619391,0.4613022159274318,0.2382882468110286,0.46598395664781916,0.8698203353197826,1.6352422537420068,0.8446935463485074,1.6518382310356097
niacin,927,8789,-0.9689601786231572,0.1054727500284446,301,1.4014996263766355,0.0,2.111,3,0.4148709253860215,0.6674452314107118,0.3871481635793189,0.6356799719857614,1.9099201459157606,3.0726835765008604,1.78229427612667,2.926447460954488
phosphorous,841,8789,-1.0013586506989158,0.0956877915576288,265,1.314306644288474,0.0,129.0,3,0.5228503893140753,0.5745152984815058,0.5328411146854891,0.566304266582718,91.56724162147947,100.61536035007629,93.31692369654422,99.17735561730576
saturated_fatty_acids,780,8789,-1.0243389622875352,0.0887472977585618,679,1.8713779601770009,0.0,1.435,3,0.10824394341219702,0.2070683283261923,0.10297823088888249,0.1893367451103803,0.7441204738020678,1.4234863923284433,0.7079214623357196,1.301591046500501
calcium,679,8789,-1.062388330655577,0.0772556604846967,992,2.725827980166245,0.0,19.0,3,0.3454765440561158,0.4906169646020527,0.26643760077363415,0.4925445796882518,62.024576622629766,88.08212682431193,47.834446172966075,88.42819834211637
potassium,610,8789,-1.0883824536000808,0.0694049379906701,378,1.400346131666684,0.0,219.0,3,0.28534904191150773,0.36511618694785486,0.24045228559068146,0.35367368377962877,89.96284597633425,115.1112756875087,75.80810873577688,111.50376136759292
irom,468,8789,-1.141877605167031,0.0532483786551371,687,2.139663834578029,0.0,1.31,3,0.40116750040831356,0.5603366186861286,0.36192683945325843,0.5561432026950517,2.4000846388548434,3.3523535886894065,2.1653175567154754,3.3272654876903873
ash,454,8789,-1.1471517750398288,0.0516554784389577,566,1.7280404411391108,0.0,1.17,3,0.23912313255900444,0.4126074767396892,0.22967762967068603,0.392879945413657,0.5189198932315962,0.8953973869760437,0.4984222502082533,0.8525867531826484
total_fat,451,8789,-1.1482819542982854,0.0513141426783479,475,1.4983863297568754,0.0,5.1,3,0.11720756880995178,0.1361675988359445,0.09564025413990478,0.1192213851101198,1.9350869451974375,2.2481153211919898,1.5790123442521162,1.9683348355585173
fat,374,8789,-1.1772898885986738,0.0425531914893617,492,1.498926979613138,0.0,5.13,3,0.11647205631084148,0.13559812651537972,0.09543372878748431,0.11811810854578358,1.922548666821659,2.23825357780468,1.5752790229975489,1.949719276307239
protein,358,8789,-1.1833175113104428,0.0407327340994424,49,0.9281648124952252,0.0,8.02,3,0.47817390201719656,0.6597697084973864,0.3836756841518877,0.6040594054542925,4.905388787628621,6.768305285478805,3.935970506007182,6.196796340637409
sodium,355,8789,-1.1844476905688994,0.0403913983388326,473,3.065802711749065,0.0,84.0,3,0.22200866568177627,0.35627621198406856,0.20121960590628737,0.3319194268253412,164.95506306379974,264.7174437736662,149.50854920385584,246.62006369846702
water,96,8789,-1.2820198332156605,0.0109227443395153,0,0.5686900617313383,0.0,63.08,3,0.26614283641882475,0.35057997749650527,0.19726045512392243,0.3201964692384617,7.8788370917461705,10.378496425863581,5.839657335852419,9.47902937528404
saturated_fat,0,8789,-1.3181855694862743,0.0,535,1.6401985149993503,18.09079531232222,2.2,3,0.10749127317030108,0.214825444884966,0.10194613622869171,0.1960358247666659,0.7391670967306008,1.4772539165173253,0.7010358211664005,1.3480465003709514
